Tiempo[ms],Ax,Ay,Az,Gx,Gy,Gz,Clase
7247,-0.21,-3.77,9.032,-2.547,-0.6,-0.552,Clase 1
7352,-0.291,-3.775,9.075,3.331,0.217,0.578,Clase 1
7456,-0.354,-3.691,9.061,0.423,-0.149,0.066,Clase 1
7562,-0.306,-3.686,9.106,2.72,0.179,0.601,Clase 1
7666,-0.308,-3.705,9.063,0.369,-0.103,0.173,Clase 1
7771,-0.349,-3.682,9.087,1.659,0.049,0.417,Clase 1
7876,-0.296,-3.646,9.181,1.362,-0.012,0.318,Clase 1
7981,-0.282,-3.667,9.164,1.293,0.049,0.135,Clase 1
8086,-0.287,-3.634,9.154,0.033,-0.065,-0.071,Clase 1
8190,-0.318,-3.571,9.161,1.186,-0.02,0.234,Clase 1
8296,-0.284,-3.598,9.087,0.377,-0.058,-0.079,Clase 1
8400,-0.306,-3.579,9.171,1.056,0.141,0.242,Clase 1
8505,-0.287,-3.598,9.082,0.514,-0.088,-0.025,Clase 1
8610,-0.308,-3.55,9.159,0.751,0.087,0.127,Clase 1
8715,-0.334,-3.547,9.188,0.636,0.087,-0.079,Clase 1
8820,-0.37,-3.543,9.121,0.499,-0.065,0.188,Clase 1
8925,-0.272,-3.521,9.128,0.56,0.003,0.028,Clase 1
9029,-0.294,-3.447,9.152,0.453,-0.035,-0.002,Clase 1
9135,-0.349,-3.5,9.104,0.583,0.225,0.074,Clase 1
9239,-0.339,-3.528,9.125,0.438,0.034,0.143,Clase 1
9344,-0.322,-3.476,9.154,0.499,-0.027,0.097,Clase 1
9449,-0.217,-3.547,9.097,0.438,-0.065,0.059,Clase 1
9553,-0.351,-3.519,9.228,0.522,-0.218,0.097,Clase 1
9659,-0.27,-3.526,9.257,2.003,0.034,0.402,Clase 1
9763,0.7,-3.887,6.319,37.461,13.591,-70.491,Clase 1
9869,-0.097,-3.662,9.001,-16.417,-1.928,-2.262,Clase 3
9973,-3.966,-1.388,10.124,109.125,-26.577,-0.453,Clase 3
10079,-4.668,-4.165,19.145,37.262,72.492,67.662,Clase 3
10183,0.097,-1.201,4.517,35.621,-238.424,-116.628,Clase 3
10289,2.306,0.125,1.715,-8.585,229.042,-30.071,Clase 3
10394,-3.54,2.017,15.571,-21.18,-182.149,-7.621,Clase 3
10499,4.284,-0.967,-3.159,-52.348,176.981,32.517,Clase 3
10604,-7.563,-18.09,16.78,-63.02,-250.813,-88.331,Clase 3
10710,6.556,3.204,-11.924,-23.677,131.286,-141.086,Clase 3
10814,-7.323,-17.393,17.728,-102.264,-250.813,-72.903,Clase 3
10919,6.195,-0.77,-9.93,14.949,112.751,-118.964,Clase 3
