Tiempo[ms],Ax,Ay,Az,Gx,Gy,Gz,Clase
1576,-0.545,-0.835,9.784,-2.158,-0.332,-0.285,Clase 1
1681,-0.536,-0.799,9.726,-1.593,-0.126,-0.293,Clase 1
1785,-0.619,-0.931,9.767,1.881,0.209,0.333,Clase 1
1891,-0.667,-0.895,9.693,0.827,-0.058,0.211,Clase 1
1995,-0.627,-0.88,9.705,-0.722,-0.355,0.097,Clase 1
2101,-0.595,-0.928,9.647,0.865,0.011,0.112,Clase 1
2205,-0.583,-0.957,9.607,0.056,-0.111,-0.125,Clase 1
2310,-0.569,-0.88,9.619,1.262,0.003,-0.018,Clase 1
2415,-0.6,-0.871,9.7,1.682,0.217,0.349,Clase 1
2520,-0.677,-0.868,9.659,0.247,-0.073,0.02,Clase 1
2625,-0.612,-0.883,9.635,0.064,0.202,0.059,Clase 1
2729,-0.627,-0.885,9.7,0.308,-0.096,0.028,Clase 1
2834,-0.157,-0.976,7.758,31.568,-31.539,-3.094,Clase 1
2939,0.135,-1.122,8.642,-84.806,-7.416,-18.461,Clase 1
3044,-0.471,-1.129,9.329,0.308,0.148,-0.369,Clase 1
3149,-0.588,-0.787,9.837,-2.532,-0.165,-0.812,Clase 1
3254,-0.622,-0.816,9.698,3.682,0.736,0.776,Clase 1
3359,-0.6,-0.823,9.758,-3.409,-0.455,-0.88,Clase 1
3464,-0.809,0.451,10.033,-6.142,5.507,-34.064,Clase 1
3568,-0.545,-1.046,9.839,12.85,1.255,1.585,Clase 1
3674,-0.574,-1.213,9.71,-6.295,-0.676,-0.544,Clase 1
3778,-0.65,-0.959,9.803,49.713,2.271,10.127,Clase 1
3884,-2.987,1.284,8.405,5.537,4.935,-10.461,Clase 1
3988,-0.562,-0.816,9.688,9.01,0.393,1.639,Clase 1
4093,-0.634,-1.213,9.41,6.01,2.751,-1.72,Clase 1
4198,-1.18,-2.008,11.141,-5.127,-5.126,27.547,Clase 1
4303,-0.622,-0.394,9.691,-3.425,-1.287,-0.331,Clase 1
4408,-0.607,-0.406,9.829,13.018,0.897,5.998,Clase 2
4513,-0.938,-3.093,11.903,-72.028,-60.485,-23.514,Clase 2
4618,-0.531,-1.048,9.559,16.4,1.568,2.723,Clase 2
4723,-0.646,-0.983,9.535,-2.318,-0.02,-0.514,Clase 2
4828,0.932,1.66,8.019,-2.982,11.5,-59.109,Clase 2
4933,-0.368,-1.567,9.035,85.186,20.423,43.28,Clase 2
5038,0.475,2.378,8.762,-36.822,11.874,-13.346,Clase 2
5143,-0.849,0.075,10.775,-77.394,-21.371,22.936,Clase 2
5248,-0.469,-0.646,14.958,62.278,-86.493,125.41,Clase 2
5353,5.416,-3.296,15.188,22.644,-92.699,-7.293,Clase 2
5457,6.965,-0.804,6.928,69.278,-16.485,-112.315,Clase 2
5563,1.468,7.006,12.999,216.812,249.454,-70.812,Clase 2
5668,-3.461,10.751,4.021,100.896,83.965,-47.758,Clase 2
5773,-2.891,3.597,5.91,36.987,32.507,61.31,Clase 2
5878,-0.488,4.1,7.263,19.606,8.003,22.99,Clase 2
5983,-1.266,4.023,8.108,10.995,27.232,2.524,Clase 2
6088,-0.971,5.428,7.493,-20.44,-13.47,-3.483,Clase 2
6193,-0.856,6.077,8.249,-8.974,-14.203,12.83,Clase 2
6298,-1.314,5.139,8.73,-2.997,-9.943,4.158,Clase 2
6403,-1.184,5.481,8.628,-2.264,-5.928,-0.369,Clase 2
6508,-0.634,5.005,7.134,11.705,5.026,4.608,Clase 2
6612,-0.624,5.076,7.545,-1.463,5.637,-2.712,Clase 2
6718,-0.897,5.33,7.715,-5.951,-0.821,-5.567,Clase 2
6822,-1.074,5.687,8.0,1.758,3.439,-5.445,Clase 2
6927,-0.859,5.414,8.055,-0.051,1.713,4.204,Clase 2
7032,-0.895,5.088,7.936,-3.18,0.881,-1.186,Clase 2
7137,-0.842,5.132,7.526,3.911,4.721,1.043,Clase 2
7242,-0.729,5.021,7.337,1.155,-2.714,-0.209,Clase 2
7347,-1.026,5.052,7.706,0.178,-1.714,-5.361,Clase 2
7452,-1.012,5.531,7.344,0.102,3.248,-0.88,Clase 2
7557,-1.101,5.515,7.562,1.72,-1.203,-0.812,Clase 2
7661,-1.153,5.629,7.608,-0.142,-0.332,0.204,Clase 2
7767,-1.067,5.567,7.857,2.163,3.767,0.707,Clase 2
7871,-1.134,5.629,7.603,0.384,-1.722,0.723,Clase 2
7976,-1.168,5.649,7.588,4.644,1.301,-1.354,Clase 2
8081,-0.955,5.548,7.529,0.621,5.408,-4.178,Clase 2
8185,-1.024,5.407,7.232,7.438,5.576,-1.285,Clase 2
8291,-1.304,6.051,7.734,6.163,2.797,-2.72,Clase 2
8395,-1.227,5.709,7.157,2.491,3.774,2.15,Clase 2
8501,-1.146,6.154,7.691,-3.249,-5.081,-1.682,Clase 2
8605,-1.28,5.965,7.512,3.255,0.141,2.448,Clase 2
8711,-1.072,5.735,7.347,4.415,0.553,0.868,Clase 2
8815,-1.491,5.991,7.591,3.43,0.53,-1.369,Clase 2
8920,-1.062,5.847,7.263,4.163,1.843,0.883,Clase 2
9025,-0.866,6.118,7.481,1.552,1.996,-5.315,Clase 2
9129,-1.163,5.503,6.985,15.697,9.568,-1.728,Clase 2
9235,-3.155,6.609,8.139,-0.28,8.446,-5.865,Clase 3
9339,-4.074,4.964,4.871,-22.257,-41.478,97.753,Clase 3
9445,1.509,4.174,3.892,-67.295,-0.775,102.074,Clase 3
9549,4.504,3.48,5.764,-120.242,20.5,110.349,Clase 3
9655,2.165,6.053,7.778,-103.944,-40.707,18.921,Clase 3
9760,-0.047,5.639,9.681,-38.532,-41.47,-17.506,Clase 3
9865,0.738,2.618,8.956,-28.677,-9.897,-12.018,Clase 3
9970,0.171,0.7,9.719,-66.921,33.377,-13.705,Clase 3
10075,0.006,1.739,10.196,-113.791,-24.035,-13.857,Clase 3
10180,-0.828,-2.939,15.69,15.171,7.912,51.998,Clase 3
10285,0.408,-3.516,7.325,26.216,44.072,39.097,Clase 3
10390,0.695,-1.752,9.145,-32.287,2.538,-6.247,Clase 3
10496,-0.129,-3.298,9.044,-19.455,-2.012,-3.575,Clase 3
10600,-0.112,-3.497,9.489,-19.28,-2.859,-3.773,Clase 3
10705,0.104,-4.065,8.865,-16.455,8.416,-21.117,Clase 3
10810,0.073,-4.203,8.795,-14.761,-1.783,-2.308,Clase 3
10915,0.094,-4.06,8.824,-4.119,-0.455,-0.728,Clase 3
11020,0.061,-4.12,8.951,-5.096,-0.554,-0.957,Clase 3
11125,0.07,-4.081,8.999,-0.745,-0.386,-0.14,Clase 3
11230,0.003,-4.022,9.013,-1.089,-0.371,-0.186,Clase 3
11334,-0.002,-4.069,9.035,1.644,0.202,0.349,Clase 3
11440,0.051,-4.041,8.982,1.591,0.087,0.318,Clase 3
11544,0.008,-4.005,9.035,1.438,-0.149,0.15,Clase 3
11650,0.01,-3.94,9.027,1.453,-0.058,0.288,Clase 3
11754,0.118,-4.031,9.073,2.827,0.347,0.83,Clase 3
11859,-0.033,-3.993,9.121,2.445,0.339,0.41,Clase 3
11964,0.049,-3.861,8.999,-0.509,0.095,-0.064,Clase 3
12068,0.046,-3.902,9.085,-0.325,-0.157,-0.14,Clase 3
12174,-0.006,-3.849,8.991,0.781,0.171,0.181,Clase 3
12278,0.073,-3.83,9.149,0.529,-0.111,-0.002,Clase 3
12384,0.034,-3.89,9.106,0.972,0.034,0.242,Clase 3
12488,0.049,-3.871,9.025,0.919,0.148,-0.01,Clase 3
12594,0.032,-3.88,9.049,0.659,-0.05,0.081,Clase 3
12698,-0.035,-3.885,9.102,0.949,-0.004,0.112,Clase 3
12803,0.032,-3.811,9.07,1.163,-0.027,0.196,Clase 3
12908,-0.016,-3.835,9.121,-0.234,-0.042,-0.048,Clase 1
13012,-0.002,-3.734,8.987,0.4,0.164,-0.01,Clase 1
13118,0.046,-3.796,9.018,1.835,0.232,0.372,Clase 1
13222,-0.018,-3.756,9.102,0.216,-0.027,0.288,Clase 1
13328,0.053,-3.82,9.123,0.965,0.019,0.196,Clase 1
13432,0.001,-3.732,9.14,1.232,-0.157,0.188,Clase 1
13537,0.015,-3.727,9.078,1.186,0.209,0.219,Clase 1
13642,-0.021,-3.744,9.149,0.522,-0.241,0.074,Clase 1
13747,-0.03,-3.689,9.133,0.797,0.019,0.143,Clase 1
13852,0.053,-3.703,9.114,0.468,-0.004,0.089,Clase 1
13957,-0.011,-3.725,9.042,0.911,-0.081,0.15,Clase 1
14062,-0.014,-3.686,9.176,0.591,0.148,0.12,Clase 1
14167,0.006,-3.715,9.173,0.842,0.095,0.097,Clase 1
14272,-0.073,-3.67,9.07,0.812,-0.073,-0.033,Clase 1
14376,0.022,-3.648,9.178,0.56,-0.081,0.066,Clase 1
14481,0.037,-3.679,9.149,0.636,0.003,0.112,Clase 1
14586,-0.023,-3.66,9.154,0.346,-0.165,0.013,Clase 1
14691,-0.016,-3.694,9.106,0.682,-0.004,0.104,Clase 1
14796,-0.014,-3.672,9.039,0.3,-0.142,0.135,Clase 1
14901,-0.045,-3.65,9.181,0.346,-0.027,-0.025,Clase 1
15006,0.001,-3.658,9.116,0.3,0.064,-0.041,Clase 1
15111,-0.054,-3.646,9.202,0.652,0.057,0.005,Clase 1
15215,0.015,-3.61,9.147,0.522,-0.203,0.028,Clase 1
15321,-0.009,-3.581,9.248,0.354,-0.042,0.12,Clase 1
15425,-0.03,-3.617,9.102,0.308,-0.142,0.165,Clase 1
15531,-0.018,-3.626,9.267,0.583,-0.088,0.211,Clase 1
15635,-0.064,-3.648,9.171,0.438,-0.073,0.013,Clase 1
15740,-0.045,-3.648,9.209,0.507,0.179,0.059,Clase 1
15845,-0.018,-3.643,9.123,0.377,-0.218,0.066,Clase 1
15949,-0.066,-3.581,9.197,0.384,0.263,-0.048,Clase 1
16055,-0.011,-3.555,9.212,0.415,0.057,0.081,Clase 1
16159,0.001,-3.643,9.133,0.01,-0.195,-0.117,Clase 1
16265,-0.054,-3.634,9.169,0.621,0.133,0.043,Clase 1
16369,-0.016,-3.526,9.157,0.575,-0.027,0.074,Clase 1
16475,-0.071,-3.555,9.183,0.438,0.057,-0.002,Clase 1
16579,-0.076,-3.559,9.171,0.522,0.133,-0.071,Clase 1
16684,-0.016,-3.55,9.221,0.468,0.263,-0.041,Clase 1
16789,-0.045,-3.547,9.178,-0.035,-0.027,-0.14,Clase 1
16893,0.092,-3.607,9.329,-2.211,-1.34,-0.773,Clase 1
16999,0.049,-3.593,9.231,0.033,-0.348,-0.079,Clase 1
17103,0.032,-3.344,9.245,12.888,1.202,2.242,Clase 1
17209,-0.021,-3.705,9.097,-5.188,-0.569,-0.926,Clase 1
17313,-0.069,-3.358,9.327,12.148,8.858,-2.232,Clase 1
17419,-0.042,-1.874,8.953,35.797,-1.783,25.326,Clase 1
17523,-1.29,-5.448,11.271,63.3,3.339,69.601,Clase 1
17629,-0.356,-2.496,14.443,76.232,-77.042,-9.865,Clase 2
17733,2.735,-1.869,8.656,35.339,-32.058,-37.239,Clase 2
17839,2.326,0.022,8.244,67.804,-41.241,-50.476,Clase 2
17944,2.194,-0.291,8.508,19.659,-13.081,-32.529,Clase 2
18049,-3.09,2.864,19.145,45.881,-5.187,66.852,Clase 2
18154,-2.068,1.904,12.968,23.056,-76.226,31.31,Clase 2
18258,-1.469,2.833,6.935,21.445,-27.661,-30.651,Clase 2
18364,0.458,2.074,5.204,11.743,-24.264,-15.117,Clase 2
18469,0.02,3.185,8.029,3.995,-21.165,-5.43,Clase 2
18574,-0.028,4.308,9.465,13.171,-4.958,-8.972,Clase 2
18679,-1.752,3.123,8.496,-25.471,-53.241,-2.468,Clase 2
18784,0.159,4.413,8.805,-1.814,-12.462,-0.911,Clase 2
18889,0.575,3.293,8.728,-18.341,-32.798,2.501,Clase 2
18994,0.214,3.846,10.131,-12.013,-31.989,-0.308,Clase 2
19099,0.436,3.302,9.465,-12.555,-6.714,-9.613,Clase 2
19204,0.037,3.197,9.355,-2.623,-2.447,11.089,Clase 2
19309,0.379,3.092,10.356,5.369,5.034,5.379,Clase 2
19414,0.36,2.967,9.554,9.888,2.599,-2.491,Clase 2
19519,0.247,3.163,9.434,-2.89,8.4,11.517,Clase 2
19623,0.25,3.573,9.398,-7.051,-4.119,0.066,Clase 2
19729,0.29,2.57,9.442,-4.409,-2.791,3.036,Clase 2
19833,0.436,3.046,9.066,-7.585,-2.203,2.791,Clase 2
19939,0.417,3.31,9.085,-8.219,3.385,1.944,Clase 2
20043,0.472,3.24,9.506,-0.104,-0.798,0.669,Clase 2
20149,0.525,3.501,9.145,8.804,-1.111,0.967,Clase 2
20253,0.496,3.202,9.25,3.911,1.538,-0.613,Clase 2
20359,0.379,3.082,8.905,0.087,-0.447,-0.842,Clase 2
20463,0.537,3.482,8.802,-1.432,-3.31,0.112,Clase 2
20568,0.326,2.998,9.315,1.72,-1.516,-0.453,Clase 2
20673,0.504,2.996,9.102,1.896,1.232,2.272,Clase 2
20777,0.331,2.941,9.272,0.224,1.026,-3.789,Clase 2
20883,0.298,3.025,9.178,3.949,3.782,3.349,Clase 2
20987,0.396,3.116,8.927,2.133,2.316,1.089,Clase 2
21093,0.274,3.044,9.173,2.514,4.156,0.448,Clase 2
21197,0.288,3.317,9.011,1.965,1.316,0.12,Clase 2
21303,0.365,3.422,8.809,-1.822,0.431,-0.781,Clase 2
21407,0.336,3.319,9.374,0.98,4.248,-0.926,Clase 2
21513,0.384,3.408,8.843,1.14,3.568,1.898,Clase 3
21617,-0.708,3.391,9.08,-5.264,-5.081,3.578,Clase 3
21722,-1.718,4.385,8.865,-25.631,-17.096,0.654,Clase 3
21827,-0.143,5.136,12.925,8.438,-18.882,12.807,Clase 3
21933,0.214,1.787,10.691,-32.356,-14.638,27.807,Clase 3
22037,0.872,2.409,10.514,-28.234,-8.416,33.807,Clase 3
22142,1.547,0.448,9.322,-15.753,-3.836,11.662,Clase 3
22247,1.44,2.014,10.198,-15.623,-14.027,2.288,Clase 3
22352,0.199,1.705,9.36,-5.402,-11.004,5.257,Clase 3
22457,1.425,1.935,5.723,-18.142,-12.409,9.593,Clase 3
22562,2.057,0.705,6.434,-12.394,69.874,55.998,Clase 3
22668,-1.017,-4.146,12.602,-31.761,53.4,28.173,Clase 3
22772,-1.266,0.367,10.433,-70.951,94.171,49.158,Clase 3
22878,0.937,-7.773,1.344,251.568,-74.92,-32.3,Clase 3
22983,-0.689,-1.28,10.49,-228.791,-6.348,9.219,Clase 3
23088,0.628,-4.462,8.618,-61.127,-0.317,-18.659,Clase 3
23193,0.566,-5.599,8.235,-59.249,17.293,-53.01,Clase 3
23298,1.306,-5.068,7.766,-9.486,21.011,-19.667,Clase 3
23403,-1.388,-6.049,8.726,34.919,1.637,-9.796,Clase 3
23507,0.458,-5.444,8.209,7.178,0.79,1.013,Clase 3
23613,0.374,-5.228,8.367,0.85,0.164,0.196,Clase 3
23717,0.415,-5.295,8.364,2.423,0.095,0.471,Clase 3
23823,0.384,-5.199,8.505,2.186,0.11,0.433,Clase 3
23927,0.441,-5.154,8.46,3.11,0.232,0.517,Clase 3
24033,0.405,-5.101,8.479,3.117,0.278,0.44,Clase 3
24137,0.408,-5.039,8.46,2.339,0.278,0.364,Clase 3
24242,0.381,-4.991,8.486,3.774,0.293,0.662,Clase 1
24347,0.42,-5.032,8.57,3.728,0.347,0.555,Clase 1
24452,0.374,-4.941,8.556,3.308,0.232,0.379,Clase 1
24557,0.329,-4.881,8.635,2.568,-0.004,0.608,Clase 1
24662,0.326,-4.848,8.584,2.438,0.034,0.249,Clase 1
24767,0.427,-4.836,8.687,2.026,0.278,0.44,Clase 1
24871,0.35,-4.79,8.635,2.117,0.209,0.257,Clase 1
24976,0.298,-4.771,8.659,2.339,0.064,0.341,Clase 1
25081,0.314,-4.733,8.721,1.919,0.316,0.318,Clase 1
25186,0.396,-4.711,8.716,1.873,0.187,0.341,Clase 1
25291,0.369,-4.663,8.745,1.598,-0.004,0.104,Clase 1
25396,0.367,-4.692,8.668,1.881,0.171,0.288,Clase 1
25501,0.271,-4.611,8.728,1.629,0.202,0.211,Clase 1
25606,0.355,-4.596,8.809,1.438,0.271,0.165,Clase 1
25711,0.278,-4.577,8.774,1.102,0.202,0.135,Clase 1
25816,0.264,-4.539,8.695,1.125,0.118,0.02,Clase 1
25920,0.293,-4.62,8.805,1.476,0.103,0.326,Clase 1
26025,0.317,-4.517,8.862,1.613,-0.058,0.074,Clase 1
26130,0.238,-4.508,8.786,1.461,0.148,0.158,Clase 1
26235,0.276,-4.486,8.754,1.675,0.064,0.265,Clase 1
26340,0.319,-4.462,8.85,1.552,0.049,0.211,Clase 1
26445,0.276,-4.491,8.726,1.804,0.217,0.249,Clase 1
26550,0.235,-4.381,8.809,1.873,-0.081,0.227,Clase 1
26655,0.302,-4.306,8.819,1.331,0.126,0.158,Clase 1
26760,0.312,-4.357,8.891,0.69,-0.233,-0.018,Clase 1
26864,0.209,-4.352,8.843,0.392,0.011,0.074,Clase 1
26970,0.293,-4.335,8.9,0.491,0.271,0.12,Clase 1
27074,0.231,-4.316,8.872,1.926,0.118,0.349,Clase 1
27180,0.25,-4.311,8.97,1.72,0.103,0.219,Clase 1
27284,0.25,-4.271,8.869,0.781,0.049,-0.071,Clase 1
27389,0.221,-4.256,8.867,0.743,0.202,0.15,Clase 1
27494,0.326,-4.294,8.944,0.957,0.133,-0.041,Clase 1
27598,0.247,-4.232,8.862,0.926,0.118,0.31,Clase 1
27704,0.19,-4.225,8.848,0.965,0.026,0.112,Clase 1
27808,0.233,-4.203,8.879,1.232,-0.035,-0.01,Clase 1
27914,0.302,-4.211,8.951,0.911,-0.035,0.066,Clase 1
28018,0.231,-4.146,8.979,0.98,-0.264,0.051,Clase 1
28124,0.211,-4.203,8.963,1.087,0.263,0.036,Clase 1
28228,0.199,-4.203,9.046,0.881,0.156,0.051,Clase 1
28334,0.24,-4.122,9.046,0.827,0.118,0.242,Clase 1
28438,0.214,-4.122,8.979,0.881,0.171,0.12,Clase 1
28542,0.202,-4.124,8.963,0.667,-0.065,0.043,Clase 1
28648,0.214,-4.139,8.888,0.415,-0.218,-0.056,Clase 1
28752,0.192,-4.012,8.989,0.407,0.469,-0.232,Clase 1
28858,0.187,-4.062,8.922,0.392,-0.065,0.036,Clase 1
28962,0.187,-4.074,8.991,0.919,-0.027,0.036,Clase 1
29068,0.257,-4.122,8.874,0.484,-0.042,0.242,Clase 1
29172,0.219,-4.026,8.977,0.675,-0.042,0.089,Clase 1
29277,0.185,-3.971,9.073,0.987,-0.119,0.066,Clase 1
29382,0.207,-4.033,9.106,1.476,0.042,0.303,Clase 1
29487,0.147,-4.089,9.015,0.529,-0.287,-0.338,Clase 1
29592,0.187,-4.081,8.963,1.644,0.179,0.066,Clase 1
29697,0.209,-4.079,9.08,1.514,0.263,-0.025,Clase 1
29802,0.195,-4.101,9.049,0.362,0.118,0.272,Clase 1
29906,0.199,-4.031,8.908,2.56,0.011,0.242,Clase 1
30011,0.231,-3.966,9.025,1.942,0.209,0.265,Clase 1
30116,0.199,-3.943,9.011,0.896,0.171,-0.01,Clase 1
30221,0.164,-3.947,9.123,1.14,0.133,0.043,Clase 1
30326,0.204,-3.926,9.037,0.468,0.011,0.135,Clase 1
30431,0.185,-4.0,9.051,0.774,0.011,0.158,Clase 1
30536,0.252,-3.909,9.027,0.507,-0.065,0.074,Clase 1
