Tiempo[ms],Ax,Ay,Az,Gx,Gy,Gz,Clase
49,-0.315,-2.116,9.705,11.354,2.148,2.478,Clase 1
41054,-0.531,-2.109,9.841,5.125,0.408,1.127,Clase 1
41159,-0.404,-2.168,9.621,-3.661,-0.539,-0.338,Clase 1
41264,-0.469,-2.257,9.537,-1.051,-0.05,0.127,Clase 1
41369,-0.507,-2.252,9.58,0.461,0.095,0.028,Clase 1
41474,-0.454,-2.183,9.533,1.171,0.003,0.135,Clase 1
41578,-0.425,-2.164,9.614,1.003,0.255,0.104,Clase 1
41683,-0.461,-2.164,9.568,-1.104,-0.256,-0.132,Clase 1
41788,-0.411,-2.202,9.504,-0.219,0.026,-0.14,Clase 1
41893,-0.492,-2.238,9.585,1.552,0.141,0.372,Clase 1
41998,-0.452,-2.092,9.59,0.423,0.118,0.135,Clase 1
42103,-0.428,-2.185,9.521,-0.791,-0.195,-0.125,Clase 1
42208,-0.469,-2.168,9.568,0.812,0.179,0.227,Clase 1
42313,-0.471,-2.178,9.523,0.919,0.148,0.127,Clase 1
42418,-0.437,-2.135,9.518,-1.356,-0.172,-0.361,Clase 1
42522,-0.423,-2.125,9.497,0.049,-0.02,0.043,Clase 1
42628,-0.385,-2.125,9.573,0.224,-0.042,-0.117,Clase 1
42732,-0.528,-2.097,9.535,-1.913,-0.271,-0.59,Clase 1
42838,-0.435,-2.123,9.544,-2.486,-0.371,-0.56,Clase 1
42942,1.152,-2.264,7.687,58.858,12.439,15.28,Clase 1
43047,-0.579,-2.511,9.403,12.613,2.362,-6.476,Clase 1
43152,-0.54,-1.721,9.76,10.591,0.805,2.456,Clase 1
43257,-0.421,-2.202,9.413,2.308,0.339,0.356,Clase 1
67,-0.639,-0.928,9.741,-0.761,0.156,-0.3,Clase 1
214,-0.641,-0.969,9.693,2.728,0.759,0.165,Clase 1
318,-0.636,-0.859,9.829,2.27,0.316,-0.125,Clase 1
423,-0.576,-0.88,9.753,-0.745,-0.218,-0.178,Clase 1
528,-0.56,-0.928,9.597,-0.906,-0.195,-0.125,Clase 1
632,-0.612,-0.89,9.731,-0.264,-0.081,-0.064,Clase 1
738,-0.648,-0.933,9.662,0.133,-0.073,-0.048,Clase 1
842,-0.627,-0.883,9.693,0.491,-0.05,-0.048,Clase 1
947,-0.593,-0.933,9.688,-0.715,-0.027,-0.109,Clase 1
1052,-0.579,-0.935,9.604,-0.516,-0.203,-0.163,Clase 1
1157,-0.631,-0.904,9.674,-0.081,-0.165,-0.071,Clase 1
1261,-0.634,-0.899,9.729,0.415,0.126,0.104,Clase 1
1367,-0.634,-0.959,9.686,4.842,0.431,0.707,Clase 1
1471,-0.641,-0.904,9.791,1.392,0.171,0.089,Clase 1
